City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description
512,Komsomolskiy,40.4272,71.7189,45.32,61,43,2.3,UZ,2021-11-28 05:50:55,scattered clouds
513,Vilhena,-12.7406,-60.1458,68.54,99,100,3.47,BR,2021-11-28 05:50:55,overcast clouds
514,Chokwe,-24.5333,32.9833,74.88,48,9,8.32,MZ,2021-11-28 05:50:55,clear sky
515,Saint Simons,31.1352,-81.3901,44.64,96,40,0.0,US,2021-11-28 05:50:56,fog
516,Mozarlandia,-14.7447,-50.5706,73.65,89,87,5.37,BR,2021-11-28 05:50:56,overcast clouds
517,Sao Joao Da Barra,-21.6403,-41.0511,71.46,87,50,6.82,BR,2021-11-28 05:47:49,scattered clouds
518,Bennington,42.8781,-73.1968,26.37,92,1,0.0,US,2021-11-28 05:50:56,clear sky
519,Pacific Grove,36.6177,-121.9166,55.51,58,1,3.44,US,2021-11-28 05:50:57,clear sky
520,Teguldet,57.3064,88.1667,23.67,90,100,11.63,RU,2021-11-28 05:50:57,overcast clouds
521,San Vicente,-26.6167,-54.1333,59.95,94,32,1.12,AR,2021-11-28 05:50:58,scattered clouds
522,Asosa,10.0667,34.5333,76.86,39,65,1.1,ET,2021-11-28 05:50:58,broken clouds
523,Madimba,-10.4,40.3333,78.12,78,20,17.27,TZ,2021-11-28 05:50:58,few clouds
524,Dhidhdhoo,6.8833,73.1,80.96,76,100,7.25,MV,2021-11-28 05:50:59,overcast clouds
525,Hit,33.6416,42.8251,65.05,39,74,4.27,IQ,2021-11-28 05:50:59,broken clouds
526,Malacacheta,-17.8422,-42.0767,61.97,98,84,3.44,BR,2021-11-28 05:50:59,broken clouds
527,Vila Franca Do Campo,37.7167,-25.4333,59.41,69,67,6.53,PT,2021-11-28 05:51:00,broken clouds
528,Faya,18.3851,42.4509,57.31,31,0,7.11,SA,2021-11-28 05:51:00,clear sky
529,Anadyr,64.75,177.4833,-5.3,77,90,2.24,RU,2021-11-28 05:51:00,light snow
530,Great Falls,47.5002,-111.3008,49.39,49,1,17.27,US,2021-11-28 05:47:29,clear sky
531,Surt,31.2089,16.5887,72.41,45,100,11.77,LY,2021-11-28 05:51:01,overcast clouds
532,Mandali,33.7499,45.5541,67.21,36,100,12.73,IQ,2021-11-28 05:51:01,overcast clouds
533,Bayir,37.2687,28.2167,63.12,89,63,7.92,TR,2021-11-28 05:51:02,broken clouds
534,Salsomaggiore Terme,44.8148,9.9796,39.81,89,61,3.2,IT,2021-11-28 05:51:02,broken clouds
535,Hofn,64.2539,-15.2082,30.9,60,100,8.57,IS,2021-11-28 05:51:02,overcast clouds
536,Dombas,62.0696,9.1235,7.92,98,98,2.37,NO,2021-11-28 05:51:03,overcast clouds
537,Naranjal,-2.6667,-79.6167,73.2,90,93,2.46,EC,2021-11-28 05:51:03,overcast clouds
538,Wanning,18.8003,110.3967,74.19,82,100,17.74,CN,2021-11-28 05:51:04,overcast clouds
539,Suntar,62.1444,117.6319,1.58,91,88,6.26,RU,2021-11-28 05:51:04,overcast clouds
540,San Ignacio,17.1561,-89.0714,67.08,98,19,1.34,BZ,2021-11-28 05:51:04,few clouds
541,Dunedin,-45.8742,170.5036,58.03,79,0,12.3,NZ,2021-11-28 05:47:25,clear sky
542,Mahibadhoo,3.7833,72.9667,81.79,72,97,17.67,MV,2021-11-28 05:51:05,overcast clouds
543,Bulawayo,-20.15,28.5833,69.46,50,9,8.77,ZW,2021-11-28 05:51:05,clear sky
